,Email,Class
1406,"['urgent', 'important', 'information', 'for', 'o2', 'user', 'today', 'is', 'your', 'lucky', 'day!', '2', 'find', 'out', 'why', 'log', 'onto', 'http//wwwurawinnercom', 'there', 'is', 'a', 'fantastic', 'surprise', 'awaiting', 'for', 'you']",spam
2969,"['u', 'should', 'make', 'a', 'fb', 'list']",ham
2767,"['i', 'am', 'on', 'the', 'way', 'to', 'ur', 'home']",ham
2027,"['kallis', 'is', 'ready', 'for', 'bat', 'in', '2nd', 'innings']",ham
2473,"['princess', 'i', 'like', 'to', 'make', 'love', '&lt;#&gt;', 'times', 'per', 'night', 'hope', 'thats', 'not', 'a', 'problem!']",ham
4716,"['k', 'will', 'do', 'addie', '&amp;', 'i', 'are', 'doing', 'some', 'art', 'so', 'ill', 'be', 'here', 'when', 'you', 'get', 'home']",ham
4157,"['it', 'certainly', 'puts', 'things', 'into', 'perspective', 'when', 'something', 'like', 'this', 'happens']",ham
3674,"['whos', 'this', 'am', 'in', 'class-']",ham
4544,"['never', 'y', 'lei', 'i', 'v', 'lazy', 'got', 'wat?', 'dat', 'day', 'ì_', 'send', 'me', 'da', 'url', 'cant', 'work', 'one']",ham
21,"['i‰û÷m', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']",ham
1859,"['it', 'could', 'work', 'well', 'reach', 'a', 'consensus', 'at', 'the', 'next', 'meeting']",ham
5000,"['nope', 'since', 'ayo', 'travelled', 'he', 'has', 'forgotten', 'his', 'guy']",ham
430,"['at', 'home', 'watching', 'tv', 'lor']",ham
2108,"['lara', 'said', 'she', 'can', 'loan', 'me', '&lt;#&gt;']",ham
4271,"['where', 'to', 'get', 'those?']",ham
5137,"['you', 've', 'won!', 'your', '4*', 'costa', 'del', 'sol', 'holiday', 'or', 'å£5000', 'await', 'collection', 'call', '09050090044', 'now', 'toclaim', 'sae', 'tc', 's', 'pobox334', 'stockport', 'sk38xh', 'costå£150/pm', 'max10mins']",spam
4128,"['me', 'im', 'not', 'workin', 'once', 'i', 'get', 'job']",ham
143,"['i', 'know', 'you', 'are', 'can', 'you', 'pls', 'open', 'the', 'back?']",ham
312,"['he', 'says', 'hell', 'give', 'me', 'a', 'call', 'when', 'his', 'friends', 'got', 'the', 'money', 'but', 'that', 'hes', 'definitely', 'buying', 'before', 'the', 'end', 'of', 'the', 'week']",ham
5310,"['yeah', 'thats', 'what', 'i', 'was', 'thinking']",ham
3473,"['hows', 'things?', 'just', 'a', 'quick', 'question']",ham
2088,"['no', 'im', 'not', 'i', 'cant', 'give', 'you', 'everything', 'you', 'want', 'and', 'need', 'you', 'actually', 'could', 'do', 'better', 'for', 'yourself', 'on', 'yor', 'own--youve', 'got', 'more', 'money', 'than', 'i', 'do', 'i', 'cant', 'get', 'work', 'i', 'cant', 'get', 'a', 'man', 'i', 'cant', 'pay', 'the', 'rent', 'i', 'cant', 'even', 'fill', 'my', 'fucking', 'gas', 'tank', 'yes', 'im', 'stressed', 'and', 'depressed', 'i', 'didnt', 'even', 'call', 'home', 'for', 'thanksgiving', 'cuz', 'ill', 'have', 'to', 'tell', 'them', 'im', 'up', 'to', 'nothing']",ham
4279,"['winner!!', 'as', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'å£900', 'prize', 'reward!', 'to', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hours', 'only']",spam
3545,"['so', 'is', 'th', 'gower', 'mate', 'which', 'is', 'where', 'i', 'am!?!', 'how', 'r', 'u', 'man?', 'all', 'is', 'good', 'in', 'wales', 'ill', 'b', 'back', 'åômorrow', 'c', 'u', 'this', 'wk?', 'who', 'was', 'the', 'msg', '4?', 'åð', 'random!']",ham
847,"['i', 'am', 'in', 'officewhats', 'the', 'mattermsg', 'me', 'nowi', 'will', 'call', 'you', 'at', 'break']",ham
3049,['ok'],ham
4325,"['that', 'seems', 'unnecessarily', 'hostile']",ham
1801,"['ok', 'lor', 'thanx', 'ìï', 'in', 'school?']",ham
3985,"['friendship', 'is', 'not', 'a', 'game', 'to', 'play', 'it', 'is', 'not', 'a', 'word', 'to', 'say', 'it', 'doesn\\t', 'start', 'on', 'march', 'and', 'ends', 'on', 'may', 'it', 'is', 'tomorrow', 'yesterday', 'today', 'and', 'e']",ham
4866,"['okey', 'dokey', 'swashbuckling', 'stuff', 'what', 'oh']",ham
2470,"['sry', 'cant', 'talk', 'on', 'phone', 'with', 'parents']",ham
999,"['aight', 'will', 'do', 'thanks', 'again', 'for', 'comin', 'out']",ham
3144,"['ill', 'get', 'there', 'tomorrow', 'and', 'send', 'it', 'to', 'you']",ham
4229,"['and', 'several', 'to', 'you', 'sir']",ham
2604,"['\\hello', 'ucall', 'wen', 'u', 'finish', 'wrki', 'fancy', 'meetin', 'up', 'wiv', 'u', 'all', 'tonite', 'as', 'i', 'need', 'a', 'break', 'from', 'dabooks', 'did', '4', 'hrs', 'last', 'nite+2', 'today', 'of', 'wrk!\\']",ham
2192,"['i', 'called', 'but', 'no', 'one', 'pick', 'up', 'e', 'phone', 'i', 'ask', 'both', 'of', 'them', 'already', 'they', 'said', 'ok']",ham
653,"['fine', 'i', 'miss', 'you', 'very', 'much']",ham
969,"['it', 'wont', 'b', 'until', '215', 'as', 'trying', '2', 'sort', 'house', 'out', 'is', 'that', 'ok?']",ham
4850,"['gain', 'the', 'rights', 'of', 'a', 'wifedont', 'demand', 'iti', 'am', 'trying', 'as', 'husband', 'toolets', 'see']",ham
1834,"['*', 'will', 'be', 'september', 'by', 'then!']",ham
718,"['you', 'have', 'won', 'a', 'guaranteed', 'å£1000', 'cash', 'or', 'a', 'å£2000', 'prize', 'to', 'claim', 'yr', 'prize', 'call', 'our', 'customer', 'service', 'representative', 'on', '08714712394', 'between', '10am-7pm']",spam
1112,"['so', 'that', 'means', 'you', 'still', 'think', 'of', 'teju']",ham
1342,"['yeah', 'ill', 'try', 'to', 'scrounge', 'something', 'up']",ham
3790,"['twinks', 'bears', 'scallies', 'skins', 'and', 'jocks', 'are', 'calling', 'now', 'dont', 'miss', 'the', 'weekends', 'fun', 'call', '08712466669', 'at', '10p/min', '2', 'stop', 'texts', 'call', '08712460324nat', 'rate']",spam
5017,"['babe', '!', 'what', 'are', 'you', 'doing', '?', 'where', 'are', 'you', '?', 'who', 'are', 'you', 'talking', 'to', '?', 'do', 'you', 'think', 'of', 'me', '?', 'are', 'you', 'being', 'a', 'good', 'boy?', 'are', 'you', 'missing', 'me?', 'do', 'you', 'love', 'me', '?']",ham
3866,"['alright', 'were', 'hooked', 'up', 'where', 'you', 'guys', 'at']",ham
5526,"['private!', 'your', '2003', 'account', 'statement', 'for', 'shows', '800', 'un-redeemed', 'sim', 'points', 'call', '08718738001', 'identifier', 'code', '49557', 'expires', '26/11/04']",spam
2956,"['i', 'would', 'but', 'im', 'still', 'cozy', 'and', 'exhausted', 'from', 'last', 'nightnobody', 'went', 'to', 'school', 'or', 'work', 'everything', 'is', 'closed']",ham
282,"['ok', 'i', 'asked', 'for', 'money', 'how', 'far']",ham
3851,"['no', 'its', 'truekdo', 'u', 'knw', 'dis', 'no', '&lt;#&gt;', '?']",ham
3972,"['night', 'night', 'see', 'you', 'tomorrow']",ham
489,"['i', 'think', 'ive', 'fixed', 'it', 'can', 'you', 'send', 'a', 'test', 'message?']",ham
5159,"['no', 'but', 'the', 'bluray', 'player', 'can']",ham
5146,"['oh', 'unintentionally', 'not', 'bad', 'timing', 'great', 'fingers', 'the', 'trains', 'play', 'along!', 'will', 'give', 'fifteen', 'min', 'warning']",ham
914,"['call', 'me', 'da', 'i', 'am', 'waiting', 'for', 'your', 'call']",ham
391,"['hey', 'so', 'this', 'sat', 'are', 'we', 'going', 'for', 'the', 'intro', 'pilates', 'only?', 'or', 'the', 'kickboxing', 'too?']",ham
977,"['dont', 'hesitate', 'you', 'know', 'this', 'is', 'the', 'second', 'time', 'she', 'has', 'had', 'weakness', 'like', 'that', 'so', 'keep', 'i', 'notebook', 'of', 'what', 'she', 'eat', 'and', 'did', 'the', 'day', 'before', 'or', 'if', 'anything', 'changed', 'the', 'day', 'before', 'so', 'that', 'we', 'can', 'be', 'sure', 'its', 'nothing']",ham
4468,"['nothing', 'smsing', 'u', 'n', 'xy', 'lor', 'sorry', 'lor', 'da', 'guys', 'neva', 'c', 'u', 'in', 'person', 'but', 'they', 'sort', 'of', 'know', 'u', 'lor', 'so', 'u', 'wan', '2', 'meet', 'them', 'xy', 'ask', 'me', '2', 'bring', 'u', 'along', '4', 'our', 'next', 'meeting']",ham
3475,"['i', 'can', 'probably', 'come', 'by', 'everybodys', 'done', 'around', '&lt;#&gt;', 'right?']",ham
544,"['this', 'girl', 'does', 'not', 'stay', 'in', 'bed', 'this', 'girl', 'doesnt', 'need', 'recovery', 'time', 'id', 'rather', 'pass', 'out', 'while', 'having', 'fun', 'then', 'be', 'cooped', 'up', 'in', 'bed']",ham
2113,"['sunshine', 'hols', 'to', 'claim', 'ur', 'med', 'holiday', 'send', 'a', 'stamped', 'self', 'address', 'envelope', 'to', 'drinks', 'on', 'us', 'uk', 'po', 'box', '113', 'bray', 'wicklow', 'eire', 'quiz', 'starts', 'saturday!', 'unsub', 'stop']",spam
65,"['as', 'a', 'valued', 'customer', 'i', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no', 'you', 'are', 'awarded', 'with', 'a', 'å£1500', 'bonus', 'prize', 'call', '09066364589']",spam
604,"['meet', 'after', 'lunch', 'la']",ham
1562,"['dude', 'just', 'saw', 'a', 'parked', 'car', 'with', 'its', 'sunroof', 'popped', 'up', 'sux']",ham
989,"['ugh', 'gotta', 'drive', 'back', 'to', 'sd', 'from', 'la', 'my', 'butt', 'is', 'sore']",ham
3375,"['good', 'afternon', 'my', 'love', 'how', 'are', 'today?', 'i', 'hope', 'your', 'good', 'and', 'maybe', 'have', 'some', 'interviews', 'i', 'wake', 'and', 'miss', 'you', 'babe', 'a', 'passionate', 'kiss', 'from', 'across', 'the', 'sea']",ham
3325,"['huh', 'so', 'fast', 'dat', 'means', 'u', 'havent', 'finished', 'painting?']",ham
3430,"['yeah', 'if', 'we', 'do', 'have', 'to', 'get', 'a', 'random', 'dude', 'we', 'need', 'to', 'change', 'our', 'info', 'sheets', 'to', 'party', '&lt;#&gt;', '/7', 'never', 'study', 'just', 'to', 'be', 'safe']",ham
2504,"['congrats', 'kanowhr', 's', 'the', 'treat', 'maga?']",ham
1812,"['yes', 'we', 'are', 'chatting', 'too']",ham
949,"['is', 'that', 'what', 'time', 'you', 'want', 'me', 'to', 'come?']",ham
3339,"['like', 'i', 'made', 'him', 'throw', 'up', 'when', 'we', 'were', 'smoking', 'in', 'our', 'friends', 'car', 'one', 'time', 'it', 'was', 'awesome']",ham
220,"['ok', 'no', 'prob', 'take', 'ur', 'time']",ham
2203,"['rajipls', 'do', 'me', 'a', 'favour', 'pls', 'convey', 'my', 'birthday', 'wishes', 'to', 'nimya', 'pls', 'today', 'is', 'her', 'birthday']",ham
3196,"['so', 'its', 'to', 'be', 'poking', 'man', 'everyday', 'that', 'they', 'teach', 'you', 'in', 'canada', 'abi!', 'how', 'are', 'you', 'just', 'saying', 'hi']",ham
2014,"['just', 're', 'read', 'it', 'and', 'i', 'have', 'no', 'shame', 'but', 'tell', 'me', 'how', 'he', 'takes', 'it', 'and', 'if', 'he', 'runs', 'i', 'will', 'blame', 'u', '4', 'ever!!', 'not', 'really', '4', 'ever', 'just', 'a', 'long', 'time']",ham
152,"['ok', 'ur', 'typical', 'reply']",ham
4336,"['on', 'a', 'tuesday', 'night', 'r', 'u', '4', 'real']",ham
3327,"['no', 'we', 'put', 'party', '7', 'days', 'a', 'week', 'and', 'study', 'lightly', 'i', 'think', 'we', 'need', 'to', 'draw', 'in', 'some', 'custom', 'checkboxes', 'so', 'they', 'know', 'were', 'hardcore']",ham
2028,"['thanx', 'but', 'my', 'birthday', 'is', 'over', 'already']",ham
1392,"['thk', 'shld', 'b', 'can', 'ya', 'i', 'wana', 'go', '4', 'lessons', 'haha', 'can', 'go', 'for', 'one', 'whole', 'stretch']",ham
3434,"['\\hi', 'darlin', 'i', 'cantdo', 'anythingtomorrow', 'as', 'myparents', 'aretaking', 'me', 'outfor', 'a', 'meal', 'when', 'are', 'u', 'free?', 'katexxx\\']",ham
4451,"['ive', 'told', 'you', 'everything', 'will', 'stop', 'just', 'dont', 'let', 'her', 'get', 'dehydrated']",ham
5409,"['there', 'is', 'a', 'first', 'time', 'for', 'everything']",ham
5358,"['hmm', 'shall', 'i', 'bring', 'a', 'bottle', 'of', 'wine', 'to', 'keep', 'us', 'amused?', 'just', 'joking!', 'ill', 'still', 'bring', 'a', 'bottle', 'red', 'or', 'white?', 'see', 'you', 'tomorrow']",ham
594,"['i', 'met', 'you', 'as', 'a', 'stranger', 'and', 'choose', 'you', 'as', 'my', 'friend', 'as', 'long', 'as', 'the', 'world', 'stands', 'our', 'friendship', 'never', 'ends', 'lets', 'be', 'friends', 'forever!!!', 'gud', 'nitz']",ham
583,"['my', 'ex-wife', 'was', 'not', 'able', 'to', 'have', 'kids', 'do', 'you', 'want', 'kids', 'one', 'day?']",ham
3926,"['lol', 'i', 'really', 'need', 'to', 'remember', 'to', 'eat', 'when', 'im', 'drinking', 'but', 'i', 'do', 'appreciate', 'you', 'keeping', 'me', 'company', 'that', 'night', 'babe', '*smiles*']",ham
2013,"['ambrithmaduraimet', 'u', 'in', 'arun', 'dha', 'marrgeremembr?']",ham
2207,"['urgent!!', 'your', '4*', 'costa', 'del', 'sol', 'holiday', 'or', 'å£5000', 'await', 'collection', 'call', '09050090044', 'now', 'toclaim', 'sae', 'tc', 's', 'pobox334', 'stockport', 'sk38xh', 'costå£150/pm', 'max10mins']",spam
5298,"['ill', 'hand', 'her', 'my', 'phone', 'to', 'chat', 'wit', 'u']",ham
2750,"['play', 'w', 'computer?', 'aiyah', 'i', 'tok', '2', 'u', 'lor?']",ham
3572,"['you', 'wont', 'believe', 'it', 'but', 'its', 'true', 'its', 'incredible', 'txts!', 'reply', 'g', 'now', 'to', 'learn', 'truly', 'amazing', 'things', 'that', 'will', 'blow', 'your', 'mind', 'from', 'o2fwd', 'only', '18p/txt']",spam
1702,"['just', 'taste', 'fish', 'curry', '-p']",ham
1132,"['good', 'morning', 'princess!', 'how', 'are', 'you?']",ham
4168,"['havent', 'heard', 'anything', 'and', 'hes', 'not', 'answering', 'my', 'texts', 'so', 'im', 'guessing', 'he', 'flaked', 'that', 'said', 'the', 'jb', 'is', 'fantastic']",ham
1232,"['1s', 'finish', 'meeting', 'call', 'me']",ham
411,"['cos', 'i', 'want', 'it', 'to', 'be', 'your', 'thing']",ham
4383,"['thanks', 'honey', 'but', 'still', 'havent', 'heard', 'anything', 'i', 'will', 'leave', 'it', 'a', 'bit', 'longer', 'so', 'not', '2', 'crowd', 'him', 'and', 'will', 'try', 'later', '-', 'great', 'advice', 'thanks', 'hope', 'cardiff', 'is', 'still', 'there!']",ham
2805,"['can', 'a', 'not?']",ham
2168,"['shop', 'till', 'u', 'drop', 'is', 'it', 'you', 'either', '10k', '5k', 'å£500', 'cash', 'or', 'å£100', 'travel', 'voucher', 'call', 'now', '09064011000', 'ntt', 'po', 'box', 'cr01327bt', 'fixedline', 'cost', '150ppm', 'mobile', 'vary']",spam
4333,"['boo', 'what', 'time', 'u', 'get', 'out?', 'u', 'were', 'supposed', 'to', 'take', 'me', 'shopping', 'today']",ham
5394,"['i', 'dont', 'know', 'exactly', 'could', 'you', 'ask', 'chechi']",ham
1504,"['oh', 'my', 'god', 'im', 'almost', 'home']",ham
98,"['hi', 'wk', 'been', 'ok', '-', 'on', 'hols', 'now!', 'yes', 'on', 'for', 'a', 'bit', 'of', 'a', 'run', 'forgot', 'that', 'i', 'have', 'hairdressers', 'appointment', 'at', 'four', 'so', 'need', 'to', 'get', 'home', 'n', 'shower', 'beforehand', 'does', 'that', 'cause', 'prob', 'for', 'u?\\']",ham
4930,"['good', 'morning', 'my', 'boytoy!', 'hows', 'those', 'yummy', 'lips', '?', 'wheres', 'my', 'sexy', 'buns', 'now', '?', 'what', 'do', 'you', 'do', '?', 'do', 'you', 'think', 'of', 'me', '?', 'do', 'you', 'crave', 'me', '?', 'do', 'you', 'need', 'me', '?']",ham
2895,"['pdate_now', '-', 'double', 'mins', 'and', '1000', 'txts', 'on', 'orange', 'tariffs', 'latest', 'motorola', 'sonyericsson', '&', 'nokia', '&', 'bluetooth', 'free!', 'call', 'mobileupd8', 'on', '08000839402', 'or', 'call2optout/!yhl']",spam
3095,"['we', 'walked', 'from', 'my', 'moms', 'right', 'on', 'stagwood', 'pass', 'right', 'on', 'winterstone', 'left', 'on', 'victors', 'hill', 'address', 'is', '&lt;#&gt;']",ham
4504,"['mobile', 'club', 'choose', 'any', 'of', 'the', 'top', 'quality', 'items', 'for', 'your', 'mobile', '7cfca1a']",spam
2115,"['its', 'that', 'time', 'of', 'the', 'week', 'again', 'ryan']",ham
4396,"['when', 'did', 'dad', 'get', 'back']",ham
148,"['ki', 'deleted', 'my', 'contact', 'that', 'why?']",ham
1017,"['shall', 'i', 'send', 'that', 'exe', 'to', 'your', 'mail', 'id']",ham
1632,"['yesterday', 'its', 'with', 'me', 'only', 'now', 'am', 'going', 'home']",ham
167,"['hi', 'frnd', 'which', 'is', 'best', 'way', 'to', 'avoid', 'missunderstding', 'wit', 'our', 'beloved', 'ones?']",ham
4121,"['doc', 'prescribed', 'me', 'morphine', 'cause', 'the', 'other', 'pain', 'meds', 'arent', 'enough', 'waiting', 'for', 'my', 'mom', 'to', 'bring', 'it', 'that', 'med', 'should', 'kick', 'in', 'fast', 'so', 'im', 'gonna', 'try', 'to', 'be', 'on', 'later']",ham
4655,"['k', 'ill', 'work', 'something', 'out']",ham
5122,"['\\not', 'enufcredeit', 'tocallshall', 'ileave', 'uni', 'at', '6', '+get', 'a', 'bus', 'to', 'yor', 'house?\\']",ham
4055,"['ha', 'ha', 'nan', 'yalrigu', 'heltiniiyo', 'kothi', 'chikku', 'u', 'shared', 'many', 'things', 'wit', 'meso', 'far', 'i', 'didnt', 'told', 'any', 'body', 'and', 'even', 'uttered', 'a', 'word', 'abt', 'u', 'if', 'ur', 'trusting', 'me', 'so', 'much', 'how', 'can', 'i', 'tell', 'these', 'to', 'others', 'plz', 'nxt', 'time', 'dont', 'use', 'those', 'words', 'to', 'meok', 'chikku-;-b-']",ham
5435,"['im', 'wif', 'him', 'now', 'buying', 'tix', 'lar']",ham
3836,"['early', 'bird!', 'any', 'purchases', 'yet?']",ham
2569,"['from', '5', 'to', '2', 'only', 'my', 'work', 'timing']",ham
4999,"['well', 'its', 'not', 'like', 'you', 'actually', 'called', 'someone', 'a', 'punto', 'that', 'woulda', 'been', 'worse']",ham
1530,"['i', 'think', 'chennai', 'well', 'settled?']",ham
108,"['i', 'know!', 'grumpy', 'old', 'people', 'my', 'mom', 'was', 'like', 'you', 'better', 'not', 'be', 'lying', 'then', 'again', 'i', 'am', 'always', 'the', 'one', 'to', 'play', 'jokes']",ham
4412,"['sad', 'story', 'of', 'a', 'man', '-', 'last', 'week', 'was', 'my', 'bday', 'my', 'wife', 'didnt', 'wish', 'me', 'my', 'parents', 'forgot', 'n', 'so', 'did', 'my', 'kids', 'i', 'went', 'to', 'work', 'even', 'my', 'colleagues', 'did', 'not', 'wish']",ham
2554,"['freemsg', 'you', 'have', 'been', 'awarded', 'a', 'free', 'mini', 'digital', 'camera', 'just', 'reply', 'snap', 'to', 'collect', 'your', 'prize!', 'quizclub', 'opt', 'out?', 'stop', '80122300p/wk', 'sprwm', 'ph08704050406']",spam
2949,"['where', 'are', 'you', '?', 'you', 'said', 'you', 'would', 'be', 'here', 'when', 'i', 'woke', '-']",ham
268,"['the', 'evo', 'i', 'just', 'had', 'to', 'download', 'flash', 'jealous?']",ham
4735,"['not', 'for', 'possession', 'especially', 'not', 'first', 'offense']",ham
1142,"['have', 'you', 'had', 'a', 'good', 'day?', 'mine', 'was', 'really', 'busy', 'are', 'you', 'up', 'to', 'much', 'tomorrow', 'night?']",ham
2206,"['usually', 'the', 'body', 'takes', 'care', 'of', 'it', 'buy', 'making', 'sure', 'it', 'doesnt', 'progress', 'can', 'we', 'pls', 'continue', 'this', 'talk', 'on', 'saturday']",ham
4094,"['i', 'aint', 'answerin', 'no', 'phone', 'at', 'what', 'is', 'actually', 'a', 'pretty', 'reasonable', 'hour', 'but', 'im', 'sleepy']",ham
5189,"['ree', 'entry', 'in', '2', 'a', 'weekly', 'comp', 'for', 'a', 'chance', 'to', 'win', 'an', 'ipod', 'txt', 'pod', 'to', '80182', 'to', 'get', 'entry', 'std', 'txt', 'rate', 't&cs', 'apply', '08452810073', 'for', 'details', '18+']",spam
3321,"['ok', 'darlin', 'i', 'supose', 'it', 'was', 'ok', 'i', 'just', 'worry', 'too', 'muchi', 'have', 'to', 'do', 'some', 'film', 'stuff', 'my', 'mate', 'and', 'then', 'have', 'to', 'babysit', 'again!', 'but', 'you', 'can', 'call', 'me', 'therexx']",ham
1162,"['free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', 'to', '87121', 'to', 'receive', 'entry', 'questionstd', 'txt', 'ratet&cs', 'apply', '08452810075over18s']",spam
1967,"['2', 'laptop', 'i', 'noe', 'infra', 'but', 'too', 'slow', 'lar', 'i', 'wan', 'fast', 'one']",ham
4139,"['leave', 'it', 'wif', 'me', 'lar', 'ìï', 'wan', 'to', 'carry', 'meh', 'so', 'heavy', 'is', 'da', 'num', '98321561', 'familiar', 'to', 'ì_?']",ham
5013,"['hello', 'boytoy', '!', 'geeee', 'im', 'missing', 'you', 'today', 'i', 'like', 'to', 'send', 'you', 'a', 'tm', 'and', 'remind', 'you', 'im', 'thinking', 'of', 'you', 'and', 'you', 'are', 'loved', '*loving', 'kiss*']",ham
5180,"['babe!', 'i', 'fucking', 'love', 'you', 'too', '!!', 'you', 'know?', 'fuck', 'it', 'was', 'so', 'good', 'to', 'hear', 'your', 'voice', 'i', 'so', 'need', 'that', 'i', 'crave', 'it', 'i', 'cant', 'get', 'enough', 'i', 'adore', 'you', 'ahmad', '*kisses*']",ham
3037,"['you', 'are', 'not', 'bothering', 'me', 'but', 'you', 'have', 'to', 'trust', 'my', 'answers', 'pls']",ham
3579,"['have', 'a', 'lovely', 'night', 'and', 'when', 'you', 'wake', 'up', 'to', 'see', 'this', 'message', 'i', 'hope', 'you', 'smile', 'knowing', 'all', 'is', 'as', 'should', 'be', 'have', 'a', 'great', 'morning']",ham
461,"['great', 'never', 'been', 'better', 'each', 'day', 'gives', 'even', 'more', 'reasons', 'to', 'thank', 'god']",ham
4318,"['are', 'you', 'still', 'playing', 'with', 'gautham?']",ham
3060,"['what', 'u', 'talking', 'bout', 'early', 'morning?', 'its', 'almost', 'noon', 'where', 'your', 'at!']",ham
5151,"['no', 'problem', 'with', 'the', 'renewal', 'ill', 'do', 'it', 'right', 'away', 'but', 'i', 'dont', 'know', 'his', 'details']",ham
3217,"['don', 'knowthis', 'week', 'im', 'going', 'to', 'tirunelvai', 'da']",ham
5076,"['guy', 'no', 'flash', 'me', 'now', 'if', 'you', 'go', 'call', 'me', 'call', 'me', 'how', 'madam', 'take', 'care', 'oh']",ham
2968,"['ma', 'head', 'dey', 'swell', 'oh', 'thanks', 'for', 'making', 'my', 'day']",ham
4393,"['baaaaaaaabe!', 'wake', 'up', '!', 'i', 'miss', 'you', '!', 'i', 'crave', 'you!', 'i', 'need', 'you!']",ham
1910,"['lol', 'grr', 'my', 'mom', 'is', 'taking', 'forever', 'with', 'my', 'prescription', 'pharmacy', 'is', 'like', '2', 'minutes', 'away', 'ugh']",ham
423,"['urgent!', 'your', 'mobile', 'number', 'has', 'been', 'awarded', 'with', 'a', 'å£2000', 'prize', 'guaranteed', 'call', '09058094455', 'from', 'land', 'line', 'claim', '3030', 'valid', '12hrs', 'only']",spam
2943,"['we', 'currently', 'have', 'a', 'message', 'awaiting', 'your', 'collection', 'to', 'collect', 'your', 'message', 'just', 'call', '08718723815']",spam
3092,['staffsciencenusedusg/~phyhcmk/teaching/pc1323'],ham
3858,"['win', 'the', 'newest', 'åòharry', 'potter', 'and', 'the', 'order', 'of', 'the', 'phoenix', 'book', '5', 'reply', 'harry', 'answer', '5', 'questions', '-', 'chance', 'to', 'be', 'the', 'first', 'among', 'readers!']",spam
4723,"['free', 'game', 'get', 'rayman', 'golf', '4', 'free', 'from', 'the', 'o2', 'games', 'arcade', '1st', 'get', 'ur', 'games', 'settings', 'reply', 'post', 'then', 'save', '&', 'activ8', 'press', '0', 'key', 'for', 'arcade', 'termsapply']",spam
4523,"['ive', 'sent', 'ì_', 'my', 'part']",ham
5527,"['total', 'disappointment', 'when', 'i', 'texted', 'you', 'was', 'the', 'craziest', 'shit', 'got']",ham
5194,"['ok', 'take', 'ur', 'time', 'n', 'enjoy', 'ur', 'dinner']",ham
