,Email,Class
1860,"['aiyah', 'then', 'i', 'wait', 'lor', 'then', 'u', 'entertain', 'me', 'hee']",ham
4323,"['i', 'am', 'not', 'having', 'her', 'number', 'sir']",ham
3030,"['gonna', 'let', 'me', 'know', 'cos', 'comes', 'bak', 'from', 'holiday', 'that', 'day', 'is', 'coming', 'dont4get2text', 'me', 'number']",ham
1856,"['i', 'hate', 'when', 'she', 'does', 'this', 'she', 'turns', 'what', 'should', 'be', 'a', 'fun', 'shopping', 'trip', 'into', 'an', 'annoying', 'day', 'of', 'how', 'everything', 'would', 'look', 'in', 'her', 'house']",ham
526,"['todays', 'offer!', 'claim', 'ur', 'å£150', 'worth', 'of', 'discount', 'vouchers!', 'text', 'yes', 'to', '85023', 'now!', 'savamob', 'member', 'offers', 'mobile!', 't', 'cs', '08717898035', 'å£300', 'sub', '16', 'unsub', 'reply', 'x']",spam
807,"['boooo', 'you', 'always', 'work', 'just', 'quit']",ham
2674,"['im', 'sick', '!!', 'im', 'needy', '!!', 'i', 'want', 'you', '!!', '*pouts*', '*stomps', 'feet*', 'where', 'are', 'you', '?!', '*pouts*', '*stomps', 'feet*', 'i', 'want', 'my', 'slave', '!!', 'i', 'want', 'him', 'now', '!!']",ham
2925,"['im', 'done', 'just', 'studyn', 'in', 'library']",ham
3014,"['&lt;#&gt;', 'mins', 'but', 'i', 'had', 'to', 'stop', 'somewhere', 'first']",ham
545,"['then', 'any', 'special', 'there?']",ham
4665,"['nottel', 'software', 'name']",ham
2609,"['as', 'usualiam', 'fine', 'happy', '&amp;', 'doing', 'well']",ham
1744,"['iåõm', 'cool', 'ta', 'luv', 'but', 'vtired', '2', 'cause', 'i', 'have', 'been', 'doin', 'loads', 'of', 'planning', 'all', 'wk', 'we', 'have', 'got', 'our', 'social', 'services', 'inspection', 'at', 'the', 'nursery!', 'take', 'care', '&', 'spk', 'sn', 'x']",ham
3708,"['okok', 'okthenwhats', 'ur', 'todays', 'plan']",ham
2484,"['lol', 'thats', 'different', 'i', 'dont', 'go', 'trying', 'to', 'find', 'every', 'real', 'life', 'photo', 'you', 'ever', 'took']",ham
3429,"['youve', 'always', 'been', 'the', 'brainy', 'one']",ham
2351,"['thats', 'cool', 'how', 'was', 'your', 'day?']",ham
3100,"['pathaya', 'enketa', 'maraikara', 'pa']",ham
288,"['my', 'life', 'means', 'a', 'lot', 'to', 'me', 'not', 'because', 'i', 'love', 'my', 'life', 'but', 'because', 'i', 'love', 'the', 'people', 'in', 'my', 'life', 'the', 'world', 'calls', 'them', 'friends', 'i', 'call', 'them', 'my', 'world-', 'ge-']",ham
440,"['yeshe', 'is', 'really', 'greatbhaji', 'told', 'kallis', 'best', 'cricketer', 'after', 'sachin', 'in', 'worldvery', 'tough', 'to', 'get', 'out']",ham
2729,"['i', 'havent', 'lei', 'next', 'mon', 'can?']",ham
5169,"['now', 'im', 'going', 'for', 'lunch']",ham
1086,"['i', 'dont', 'think', 'he', 'has', 'spatula', 'hands!']",ham
2728,"['urgent!', 'please', 'call', '09066612661', 'from', 'your', 'landline', 'your', 'complimentary', '4*', 'lux', 'costa', 'del', 'sol', 'holiday', 'or', 'å£1000', 'cash', 'await', 'collection', 'ppm', '150', 'sae', 't&cs', 'james', '28', 'eh74rr']",spam
5337,"['my', 'birthday', 'is', 'on', 'feb', '&lt;#&gt;', 'da']",ham
966,"['i', 'am', 'not', 'sure', 'about', 'night', 'menu', 'i', 'know', 'only', 'about', 'noon', 'menu']",ham
1873,"['would', 'you', 'like', 'to', 'see', 'my', 'xxx', 'pics', 'they', 'are', 'so', 'hot', 'they', 'were', 'nearly', 'banned', 'in', 'the', 'uk!']",spam
4106,"['hot', 'live', 'fantasies', 'call', 'now', '08707500020', 'just', '20p', 'per', 'min', 'ntt', 'ltd', 'po', 'box', '1327', 'croydon', 'cr9', '5wb', '0870', 'is', 'a', 'national', 'rate', 'call']",spam
1792,"['you', 'bad', 'girl', 'i', 'can', 'still', 'remember', 'them']",ham
2258,"['ill', 'call', 'you', 'evening', 'ill', 'some', 'ideas']",ham
5501,"['private!', 'your', '2003', 'account', 'statement', 'for', '07808247860', 'shows', '800', 'un-redeemed', 's', 'i', 'm', 'points', 'call', '08719899229', 'identifier', 'code', '40411', 'expires', '06/11/04']",spam
2696,"['can', 'you', 'use', 'foreign', 'stamps', 'for', 'whatever', 'you', 'send', 'them', 'off', 'for?']",ham
4781,"['call', 'me', 'i', 'am', 'senthil', 'from', 'hsbc']",ham
5534,"['ok', 'which', 'your', 'another', 'number']",ham
1679,"['okay', 'we', 'wait', 'ah']",ham
720,"['oh', 'is', 'it?', 'send', 'me', 'the', 'address']",ham
28,"['im', 'back', '&amp;', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']",ham
2302,"['should', 'i', 'tell', 'my', 'friend', 'not', 'to', 'come', 'round', 'til', 'like', '&lt;#&gt;', 'ish?']",ham
4545,"['never', 'try', 'alone', 'to', 'take', 'the', 'weight', 'of', 'a', 'tear', 'that', 'comes', 'out', 'of', 'ur', 'heart', 'and', 'falls', 'through', 'ur', 'eyes', 'always', 'remember', 'a', 'stupid', 'friend', 'is', 'here', 'to', 'share', 'bslvyl']",ham
3315,"['i', 'know', 'girls', 'always', 'safe', 'and', 'selfish', 'know', 'i', 'got', 'it', 'pa', 'thank', 'you', 'good', 'night']",ham
3185,"['happy', 'birthday', 'to', 'youdearwith', 'lots', 'of', 'loverakhesh', 'nri']",ham
4943,"['wrong', 'phone!', 'this', 'phone!', 'i', 'answer', 'this', 'one', 'but', 'assume', 'the', 'other', 'is', 'people', 'i', 'dont', 'well']",ham
4141,"['infact', 'happy', 'new', 'year', 'how', 'are', 'you', 'where', 'are', 'you', 'when', 'are', 'we', 'seeing']",ham
3637,"['customer', 'service', 'announcement', 'we', 'recently', 'tried', 'to', 'make', 'a', 'delivery', 'to', 'you', 'but', 'were', 'unable', 'to', 'do', 'so', 'please', 'call', '07090298926', 'to', 're-schedule', 'ref9307622']",spam
5218,"['i', 'accidentally', 'brought', 'em', 'home', 'in', 'the', 'box']",ham
3392,"['ok', 'thanx']",ham
661,"['then', 'mums', 'repent', 'how?']",ham
2289,"['hey', 'there', 'babe', 'how', 'u', 'doin?', 'wot', 'u', 'up', '2', '2nite', 'love', 'annie', 'x']",ham
317,"['not', 'really', 'dude', 'have', 'no', 'friends', 'im', 'afraid']",ham
49,"['u', 'dont', 'know', 'how', 'stubborn', 'i', 'am', 'i', 'didnt', 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', 'i', 'kept', 'telling', 'mark', 'im', 'not', 'a', 'weak', 'sucker', 'hospitals', 'are', 'for', 'weak', 'suckers']",ham
4677,"['it', 'is', 'a', 'good', 'thing', 'im', 'now', 'getting', 'the', 'connection', 'to', 'bw']",ham
2140,"['alright', 'took', 'the', 'morphine', 'back', 'in', 'yo']",ham
4298,"['hurt', 'me', 'tease', 'me', 'make', 'me', 'cry', 'but', 'in', 'the', 'end', 'of', 'my', 'life', 'when', 'i', 'die', 'plz', 'keep', 'one', 'rose', 'on', 'my', 'grave', 'and', 'say', 'stupid', 'i', 'miss', 'u', 'have', 'a', 'nice', 'day', 'bslvyl']",ham
1662,"['s', 'but', 'mostly', 'not', 'like', 'that']",ham
4873,"['wat', 'happened', 'to', 'the', 'cruise', 'thing']",ham
572,"['can', 'you', 'open', 'the', 'door?']",ham
3949,"['i', 'got', 'to', 'video', 'tape', 'pple', 'type', 'in', 'message', 'lor', 'u', 'so', 'free', 'wan', '2', 'help', 'me?', 'hee', 'cos', 'i', 'noe', 'u', 'wan', '2', 'watch', 'infernal', 'affairs', 'so', 'ask', 'u', 'along', 'asking', 'shuhui', 'oso']",ham
7,"['as', 'per', 'your', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', '*9', 'to', 'copy', 'your', 'friends', 'callertune']",ham
3664,"['ha', 'u', 'jus', 'ate', 'honey', 'ar?', 'so', 'sweet']",ham
983,"['look', 'at', 'the', 'fuckin', 'time', 'what', 'the', 'fuck', 'you', 'think', 'is', 'up']",ham
2443,"['yes', 'but', 'i', 'dont', 'care!', 'i', 'need', 'you', 'bad', 'princess!']",ham
3716,"['im', 'gonna', 'rip', 'out', 'my', 'uterus']",ham
4045,"['win', 'a', 'å£1000', 'cash', 'prize', 'or', 'a', 'prize', 'worth', 'å£5000']",spam
731,"['no', 'he', 'didnt', 'spring', 'is', 'coming', 'early', 'yay!']",ham
5377,"['the', 'current', 'leading', 'bid', 'is', '151', 'to', 'pause', 'this', 'auction', 'send', 'out', 'customer', 'care', '08718726270']",spam
2762,"['say', 'this', 'slowly?', 'godi', 'love', 'you', '&amp;', 'i', 'need', 'youclean', 'my', 'heart', 'with', 'your', 'bloodsend', 'this', 'to', 'ten', 'special', 'people', '&amp;', 'u', 'c', 'miracle', 'tomorrow', 'do', 'itplspls', 'do', 'it']",ham
3323,"['i', 'don', 'wake', 'since', 'i', 'checked', 'that', 'stuff', 'and', 'saw', 'that', 'its', 'true', 'no', 'available', 'spaces', 'pls', 'call', 'the', 'embassy', 'or', 'send', 'a', 'mail', 'to', 'them']",ham
1815,"['are', 'you', 'going', 'to', 'write', 'ccna', 'exam', 'this', 'week??']",ham
2689,"['sports', 'fans', '-', 'get', 'the', 'latest', 'sports', 'news', 'str*', '2', 'ur', 'mobile', '1', 'wk', 'free', 'plus', 'a', 'free', 'tone', 'txt', 'sport', 'on', 'to', '8007', 'wwwgetzedcouk', '0870141701216+', 'norm', '4txt/120p']",spam
2437,"['i', 'not', 'busy', 'juz', 'dun', 'wan', '2', 'go', 'so', 'early', 'hee']",ham
1244,"['now?', 'im', 'going', 'out', '4', 'dinner', 'soon']",ham
3987,"['hello', 'sort', 'of', 'out', 'in', 'town', 'already', 'that', 'so', 'dont', 'rush', 'home', 'i', 'am', 'eating', 'nachos', 'will', 'let', 'you', 'know', 'eta']",ham
1348,"['nothing', 'much', 'chillin', 'at', 'home', 'any', 'super', 'bowl', 'plan?']",ham
2690,"['hey', 'tmr', 'meet', 'at', 'bugis', '930', '?']",ham
241,"['pleassssssseeeeee', 'tel', 'me', 'v', 'avent', 'done', 'sportsx']",ham
4672,"['i', 'forgot', '2', 'ask', 'ì_', 'all', 'smth', 'theres', 'a', 'card', 'on', 'da', 'present', 'lei', 'how?', 'ìï', 'all', 'want', '2', 'write', 'smth', 'or', 'sign', 'on', 'it?']",ham
2994,"['mm', 'not', 'entirely', 'sure', 'i', 'understood', 'that', 'text', 'but', 'hey', 'ho', 'which', 'weekend?']",ham
595,"['i', 'am', 'great!', 'how', 'are', 'you?']",ham
4474,"['we', 'will', 'meet', 'soon', 'princess!', 'ttyl!']",ham
4638,"['of', 'course', 'i', 'guess', 'gods', 'just', 'got', 'me', 'on', 'hold', 'right', 'now']",ham
90,"['yeah', 'do!', 'don‰û÷t', 'stand', 'to', 'close', 'tho-', 'you‰û÷ll', 'catch', 'something!']",ham
3381,"['well', 'i', 'meant', 'as', 'opposed', 'to', 'my', 'drunken', 'night', 'of', 'before']",ham
519,"['usually', 'the', 'person', 'is', 'unconscious', 'thats', 'in', 'children', 'but', 'in', 'adults', 'they', 'may', 'just', 'behave', 'abnormally', 'ill', 'call', 'you', 'now']",ham
5443,"['you', 'have', 'won', 'a', 'guaranteed', '32000', 'award', 'or', 'maybe', 'even', 'å£1000', 'cash', 'to', 'claim', 'ur', 'award', 'call', 'free', 'on', '0800', '18+', 'its', 'a', 'legitimat', 'efreefone', 'number', 'wat', 'do', 'u', 'think???']",spam
3634,"['its', 'not', 'that', 'you', 'make', 'me', 'cry', 'its', 'just', 'that', 'when', 'all', 'our', 'stuff', 'happens', 'on', 'top', 'of', 'everything', 'else', 'it', 'pushes', 'me', 'over', 'the', 'edge', 'you', 'dont', 'underdtand', 'how', 'often', 'i', 'cry', 'over', 'my', 'sorry', 'sorry', 'life']",ham
1197,"['he', 'also', 'knows', 'about', 'lunch', 'menu', 'only', 'da', 'i', 'know']",ham
2594,"['sunshine', 'quiz', 'wkly', 'q!', 'win', 'a', 'top', 'sony', 'dvd', 'player', 'if', 'u', 'know', 'which', 'country', 'liverpool', 'played', 'in', 'mid', 'week?', 'txt', 'ansr', 'to', '82277', 'å£150', 'sptyrone']",spam
1957,"['lol', 'oh', 'no', 'babe', 'i', 'wont', 'be', 'sliding', 'into', 'your', 'place', 'after', 'midnight', 'but', 'thanks', 'for', 'the', 'invite']",ham
2054,"['sir', 'i', 'am', 'waiting', 'for', 'your', 'mail']",ham
2195,"['not', 'much', 'just', 'some', 'textin', 'how', 'bout', 'you?']",ham
4095,"['hey', 'is', '*', 'rite', 'u', 'put', 'åè10', 'evey', 'mnth', 'is', 'that', 'all?']",ham
1261,"['thank', 'you', 'so', 'much', 'when', 'we', 'skyped', 'wit', 'kz', 'and', 'sura', 'we', 'didnt', 'get', 'the', 'pleasure', 'of', 'your', 'company', 'hope', 'you', 'are', 'good', 'weve', 'given', 'you', 'ultimatum', 'oh!', 'we', 'are', 'countin', 'down', 'to', 'aburo', 'enjoy!']",ham
4535,"['never', 'blame', 'a', 'day', 'in', 'ur', 'life', 'good', 'days', 'give', 'u', 'happiness', 'bad', 'days', 'give', 'u', 'experience', 'both', 'are', 'essential', 'in', 'life!', 'all', 'are', 'gods', 'blessings!', 'good', 'morning']",ham
1034,"['zoe', 'it', 'just', 'hit', 'me', '2', 'im', 'fucking', 'shitin', 'myself', 'il', 'defo', 'try', 'my', 'hardest', '2', 'cum', '2morow', 'luv', 'u', 'millions', 'lekdog']",ham
726,"['of', 'cos', 'can', 'lar', 'im', 'not', 'so', 'ba', 'dao', 'ok', '1', 'pm', 'lor', 'y', 'u', 'never', 'ask', 'where', 'we', 'go', 'ah', 'i', 'said', 'u', 'would', 'ask', 'on', 'fri', 'but', 'he', 'said', 'u', 'will', 'ask', 'today']",ham
5136,"['there', 'are', 'some', 'nice', 'pubs', 'near', 'here', 'or', 'there', 'is', 'frankie', 'n', 'bennys', 'near', 'the', 'warner', 'cinema?']",ham
3877,"['what', 'you', 'need', 'you', 'have', 'a', 'person', 'to', 'give', 'na']",ham
1368,"['alright', 'im', 'out--have', 'a', 'good', 'night!']",ham
2273,"['think', 'i', 'could', 'stop', 'by', 'in', 'like', 'an', 'hour', 'or', 'so?', 'my', 'roommates', 'looking', 'to', 'stock', 'up', 'for', 'a', 'trip']",ham
2877,"['hey', 'boys', 'want', 'hot', 'xxx', 'pics', 'sent', 'direct', '2', 'ur', 'phone?', 'txt', 'porn', 'to', '69855', '24hrs', 'free', 'and', 'then', 'just', '50p', 'per', 'day', 'to', 'stop', 'text', 'stopbcm', 'sf', 'wc1n3xx']",spam
3480,"['wherres', 'my', 'boytoy', '?', '-']",ham
2500,"['no', 'datoday', 'also', 'i', 'forgot']",ham
3871,"['i', 'am', 'joining', 'today', 'formallypls', 'keep', 'prayingwill', 'talk', 'later']",ham
2888,"['my', 'battery', 'is', 'low', 'babe']",ham
